OBJECTID,TYPE,YEAR,DATE_,TIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,DATETIME
1950,Possession,2012,2012/01/27 05:00:00+00,07:05:00,b'fD(\xda1wp',18,4D,408,396800,139800,303,1D,U,H ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF COLUMBIA RD NW,396800,139800,2012/01/28 00:05:00+00
1951,Possession,2014,2014/05/09 04:00:00+00,07:17:00,b'Fc\x06\x7f<\xd1>',59,1D,108,401000,136200,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF C ST NE,401000,136200,2014/05/09 23:17:00+00
1952,Possession,2012,2012/10/30 04:00:00+00,08:13:00,b'FAV\xbb\xd7\x81\x8d',33,7D,708,399500,129300,708,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1ST ST SE / ATLANTIC ST SE,399500,129300,2012/10/31 00:13:00+00
1953,Possession,2012,2012/12/14 05:00:00+00,10:34:00,b'fA\x98\x98Ed\x92',23,2D,207,396300,137200,404,4D,B ,N ,F,Narcotics,Ucsa Poss Marijuana,1800 BLOCK OF K ST NW,396300,137200,2012/12/15 03:34:00+00
1954,Possession,2012,2012/05/19 04:00:00+00,01:50:00,b'f2\x0e2`\x17\xe9',19,6D,608,405400,135800,106,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF BENNING RD SE,405400,135800,2012/05/19 17:50:00+00
1955,Possession,2012,2012/05/19 04:00:00+00,01:50:00,b'f2\x0e2`\x17\xe9',21,6D,608,405400,135800,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF BENNING RD,405400,135800,2012/05/19 17:50:00+00
1956,Possession,2012,2012/05/19 04:00:00+00,01:50:00,b'f2\x0e2`\x17\xe9',21,6D,608,405400,135800,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF BENNING RD,405400,135800,2012/05/19 17:50:00+00
1957,Possession,2012,2012/05/28 04:00:00+00,01:10:00,b'f0(3\xebX7',18,6D,606,402800,132400,703,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2800 BLOCK OF ALABAMA AVE SE,,,2012/05/28 05:10:00+00
1958,Possession with intent to distribute,2012,2012/08/15 04:00:00+00,07:00:00,"b'F+:\xeaJ,\xae'",24,6D,603,404100,136100,603,6D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,100 BLOCK OF 36TH ST NE,404100,136100,2012/08/15 23:00:00+00
1959,Possession with intent to distribute,2012,2012/08/15 04:00:00+00,07:00:00,"b'F+:\xeaJ,\xae'",28,6D,603,404100,136100,603,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,100 BLOCK OF 36TH ST NE,404100,136100,2012/08/15 23:00:00+00
1960,Possession with intent to distribute,2012,2012/08/15 04:00:00+00,07:00:00,"b'F+:\xeaJ,\xae'",28,6D,603,404100,136100,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,100 BLOCK OF 36TH ST NE,404100,136100,2012/08/15 23:00:00+00
1961,Possession,2012,2012/01/20 05:00:00+00,02:20:00,b'f\xfaI\x1a\xf9i\x10',35,6D,608,405400,135800,604,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF BENNING RD SE,405500,135700,2012/01/20 19:20:00+00
1962,Possession with intent to distribute,2012,2012/05/06 04:00:00+00,02:09:00,b'F\xfa\xed\xc9\x804\xd5',25,6D,605,402700,133900,605,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1400 BLOCK OF 27TH ST SE,402700,133900,2012/05/06 18:09:00+00
1963,Possession,2012,2012/01/08 05:00:00+00,07:30:00,b'F\xf9n\xc4\x1e\xa5\x80',26,5D,506,401700,138800,306,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF NEW YORK AVE NE,401700,138800,2012/01/08 12:30:00+00
1964,Public consumption,2015,2015/07/05 04:00:00+00,02:04:00,b'F\xf6\x0e8\xc9\xda\xfd',18,1D,101,397900,136700,604,6D,B ,N ,M,Narcotics,Public Consumption Of Marijuana,900 BLOCK OF G ST NW,397900,136700,2015/07/05 18:04:00+00
1965,Possession,2012,2012/06/06 04:00:00+00,05:50:00,b'F\xf1\x91p\xb6|\xcd',19,1D,101,397700,138900,505,5D,B ,U ,F,Narcotics,Ucsa Possession Marijuana,11TH ST NW,397700,138900,2012/06/06 21:50:00+00
1966,Possession with intent to distribute,2013,2013/02/22 05:00:00+00,04:00:00,b'f\xf0\x18\x93\x9f\x9c\x19',57,4D,402,397500,143700,507,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1200 BLOCK OF MISSOURI AVE NW,397500,143700,2013/02/22 21:00:00+00
1967,Possession with intent to distribute,2013,2013/02/22 05:00:00+00,08:54:00,b'f\xf0\x18\x93\x9f\x9c\x19',69,4D,402,397500,143700,308,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1200 BLOCK OF MISSOURI AVE NW,397500,143700,2013/02/23 01:54:00+00
1968,Possession,2012,2012/10/04 04:00:00+00,04:27:00,b'f\xe6\x9e\x80\x81\xaa\r',67,3D,305,397400,138600,302,3D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF T ST NW,397400,138600,2012/10/04 20:27:00+00
1969,Distribution,2017,2017/07/22 04:00:00+00,10:01:03,b'F\xe0`PS\xa2\xf8',39,6D,605,403100,134200,708,7D,B ,U ,M,Narcotics,Distribution Of Marijuana-misd,2900 BLOCK OF NELSON PLACE SE,402800,134300,2017/07/22 14:01:03+00
1970,Distribution,2017,2017/07/22 04:00:00+00,10:01:57,b'F\xe0`PS\xa2\xf8',26,6D,605,403100,134200,308,3D,B ,N ,M,Narcotics,Distribution Of Marijuana-misd,3000 BLOCK OF NELSON PLACE SE,403100,134200,2017/07/22 14:01:57+00
1971,Possession,2014,2014/03/01 05:00:00+00,06:00:00,b'f\xdei\x96\x16\x01\xd3',22,5D,506,401300,137600,Out of State,Out of State,W ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF TRINIDAD AVE NE,401300,137600,2014/03/01 23:00:00+00
1972,Possession,2013,2013/07/28 04:00:00+00,01:46:00,b'f\xdbwS\xc4\xc6\x0e',24,3D,303,396400,139500,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF CHAMPLAIN ST NW,396400,139500,2013/07/28 05:46:00+00
1973,Distribution,2015,2015/09/12 04:00:00+00,03:53:21,b'F\xd89Y\x86\x92n',45,7D,705,400600,130200,705,7D,B ,U ,M,Narcotics,Distribution Of A Controlled Substance,3500 BLOCK OF WHEELER RD SE,400600,130200,2015/09/12 19:53:21+00
1974,Distribution,2015,2015/09/12 04:00:00+00,03:53:32,b'F\xd89Y\x86\x92n',41,7D,705,400600,130200,704,7D,B ,U ,M,Narcotics,Distribution Of A Controlled Substance,3500 BLOCK OF WHEELER RD SE,400600,130200,2015/09/12 19:53:32+00
1975,Possession,2013,2013/05/27 04:00:00+00,04:40:00,b'F\xc6\xcf\xb2\x84KN',20,5D,506,401100,137700,506,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1100 BLOCK OF QUEEN ST NE,401100,137700,2013/05/27 08:40:00+00
1976,Possession,2013,2013/05/27 04:00:00+00,04:40:00,b'F\xc6\xcf\xb2\x84KN',23,5D,506,401100,137700,603,6D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1100 BLOCK OF QUEEN ST NE,401100,137700,2013/05/27 08:40:00+00
1977,Distribution,2016,2016/09/22 04:00:00+00,07:10:21,b'F\xc5\x03]\xab`\xc8',50,3D,305,398100,138800,106,1D,B ,N ,F,Narcotics,Distribution Of Marijuana-misd,2000 BLOCK OF GEORGIA AVENUE NW,398100,138800,2016/09/22 23:10:21+00
1978,Possession,2012,2012/11/30 05:00:00+00,09:11:00,b'f\xb5\xa7\xa6L\xe2~',22,3D,303,396400,139100,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2300 BLOCK OF 18TH ST NW,396400,139100,2012/12/01 02:11:00+00
1979,Possession with intent to distribute,2012,2012/07/03 04:00:00+00,01:50:00,b'f\xb0\xf6z\x0f\xa2\x13',24,7D,703,400700,132700,506,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1200 BLOCK OF TALBERT ST SE,400700,132700,2012/07/03 17:50:00+00
1980,Possession,2013,2013/05/10 04:00:00+00,09:03:00,b'f\xaf>W6\xa2\xed',32,3D,302,396900,140000,302,3D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,3000 BLOCK OF 16TH ST NW,396900,140000,2013/05/11 01:03:00+00
1981,Public consumption,2017,2017/04/01 04:00:00+00,12:40:12,b'f\xa9hN\xf0\\\x1e',26,3D,304,397800,139300,Out of State,Out of State,W ,U ,M,Narcotics,"Consumption of marijuana in public space prohibited; impairment prohibited",2300 BLOCK OF SHERMAN AVENUE NW,397800,139300,2017/04/01 04:40:12+00
1982,Possession with intent to distribute,2015,2015/02/14 05:00:00+00,12:01:00,b'F\xa5\x19-\n\x91\xa2',40,3D,301,397200,138800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2000 BLOCK OF 14TH ST NW,397200,138800,2015/02/14 05:01:00+00
1983,Possession,2014,2014/07/06 04:00:00+00,09:45:00,b'F\xa3\xa2\x04\x04WP',24,6D,602,405300,136400,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,100 BLOCK OF 44TH ST NE,405300,136000,2014/07/07 01:45:00+00
1984,Possession,2014,2014/01/01 05:00:00+00,08:55:00,b'F\x97\xad?\xa0\xe1X',19,6D,604,405400,134700,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4400 BLOCK OF G ST SE,405400,134700,2014/01/02 01:55:00+00
1985,Possession,2013,2013/07/05 04:00:00+00,01:37:00,b'F\x94\xc8\xae\xa6\xbb\xb2',23,3D,303,396500,139000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2200 BLOCK OF CHAMPLAIN ST NW,396500,139000,2013/07/05 05:37:00+00
1986,Possession,2012,2012/05/03 04:00:00+00,03:50:00,b'f\x93\xe1\xaaa\xdc\t',49,5D,505,401400,139100,101,1D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF 14TH ST NE,401400,139100,2012/05/03 19:50:00+00
1987,Possession with intent to distribute,2012,2012/11/15 05:00:00+00,09:40:00,b'F\x91\x03l\x96&\x0f',22,7D,706,400400,128900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4200 BLOCK OF BARNABY RD SE,400400,128900,2012/11/16 02:40:00+00
1988,Possession,2012,2012/08/14 04:00:00+00,11:31:00,b'f\x8d\x99\xe6!\x0e\xc5',22,7D,708,399800,128600,701,7D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF 3RD ST SE,399900,128600,2012/08/14 15:31:00+00
1989,Possession,2013,2013/10/22 04:00:00+00,07:15:00,b'f\x83_\x86\xf9\x85u',45,7D,708,399900,128300,504,5D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,4600 BLOCK OF LIVINGSTON RD SE,399900,128300,2013/10/22 23:15:00+00
1990,Possession,2014,2014/07/12 04:00:00+00,08:00:00,b'F\x1b#\x96\xbf=\xa1',37,6D,604,405300,134700,604,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,4400 BLOCK OF G ST SE,405300,134700,2014/07/13 00:00:00+00
1991,Possession,2014,2014/04/13 04:00:00+00,12:40:00,b'f\x15\x83\xf6\x8f\xd0\x1c',28,3D,303,396400,138800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2000 BLOCK OF 18TH ST NW,396400,138800,2014/04/13 04:40:00+00
1992,Possession,2014,2014/04/13 04:00:00+00,12:40:00,b'f\x15\x83\xf6\x8f\xd0\x1c',Unk,3D,303,396400,138800,,,U,U ,U,Narcotics,Ucsa Possession Marijuana,2000 BLOCK OF 18TH ST NW,396400,138800,2014/04/13 04:40:00+00
1993,Possession,2013,2013/08/24 04:00:00+00,05:50:00,b'f\x12N\x0f \xcc\x0c',63,3D,306,398200,138500,307,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF WILTBERGER ST NW,398200,138500,2013/08/24 21:50:00+00
1994,Possession with intent to distribute,2014,2014/06/07 04:00:00+00,07:50:00,b'f\x11\x0bF\xe3\xdf\xa8',31,1D,105,399100,134100,104,1D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1300 BLOCK OF HALF ST SW,399100,134100,2014/06/07 23:50:00+00
1995,Possession,2012,2012/01/04 05:00:00+00,03:10:00,b'f\x10\xee\x1b\xb3.\xba',40,7D,701,401800,133000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF GOODHOPE RD SE,401800,133000,2012/01/04 08:10:00+00
1996,Possession with intent to distribute,2017,2017/02/04 05:00:00+00,02:00:41,b'f\x0fx\x95\xba\xf3\xe6',21,5D,503,402500,140100,503,5D,B ,N ,M,Narcotics,Poss W/i To Dist A Controlled Substance,3000 BLOCK OF 25TH ST NE,402500,140100,2017/02/04 19:00:41+00
1997,Possession,2013,2013/06/01 04:00:00+00,06:04:00,"b'F\x00;\x84\xc2\x1b='",19,6D,608,406100,137100,602,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,5000 BLOCK OF JAY ST NE,406100,137100,2013/06/01 22:04:00+00
1998,Public consumption,2014,2014/10/18 04:00:00+00,02:00:00,b'F\thK\xea\x96\xc3',30,3D,303,396600,139600,Out of State,Out of State,W ,N ,M,Narcotics,Public Consumption Of Marijuana,1700 BLOCK OF COLUMBIA RD NW,396600,139600,2014/10/18 06:00:00+00
1999,Possession,2012,2012/11/10 05:00:00+00,03:47:00,b'F\\\xd2\x8f\x121Y',27,3D,304,398000,139900,405,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2900 BLOCK OF GEORGIA AVE NW,398000,139900,2012/11/10 08:47:00+00
2000,Possession,2013,2013/11/10 05:00:00+00,02:25:00,b'f[6$\xd8g\xef',19,3D,303,396400,139200,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF 18TH ST NW,396400,139200,2013/11/10 07:25:00+00
2001,Possession,2014,2014/03/16 04:00:00+00,02:57:00,b'f?\xc68\x9c\x82w',21,6D,606,402800,132400,705,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2800 BLOCK OF ALABAMA AVE SE,402800,132400,2014/03/16 06:57:00+00
2002,Possession,2013,2013/01/09 05:00:00+00,07:55:00,b'f::\xd7\x10\xe0b',23,7D,703,400600,132700,603,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2400 BLOCK OF MARTIN LUTHER KING JR AVE SE,400600,132700,2013/01/10 00:55:00+00
2003,Distribution,2017,2017/09/03 04:00:00+00,04:19:40,b'f)?\xb3\x00\xe8Q',31,1D,105,399200,134100,,,B ,N ,M,Narcotics,Distribution Of Marijuana-misd,1200 BLOCK OF SOUTH CAPITOL STREET SW,399200,134100,2017/09/03 20:19:40+00
2004,Possession with intent to distribute,2012,2012/09/21 04:00:00+00,05:12:00,b'eY\x16\xbb\x1e\xd9\x16',46,5D,507,401700,137000,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,MARYLAND AVE NE / NEAL ST NE,401700,137000,2012/09/21 21:12:00+00
2005,Possession,2013,2013/04/11 04:00:00+00,10:22:00,b'Eu\x10G\xef\xc9\x08',35,1D,108,401000,134900,603,6D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF PENNSYLVANIA AVE SE,401000,134900,2013/04/12 02:22:00+00
2006,Possession,2013,2013/02/21 05:00:00+00,08:15:00,b'er\xaa\xde}\xcb\xc8',22,1D,108,401600,135400,Out of State,Out of State,W ,U ,M,Narcotics,Ucsa Poss Marijuana,200 BLOCK OF 17TH ST SE,401600,135400,2013/02/22 01:15:00+00
2007,Possession,2012,2012/08/02 04:00:00+00,10:01:00,b'Ek\x9c\x8d\xe8MU',29,3D,304,397000,139500,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF EUCLID ST NW,,,2012/08/03 02:01:00+00
2008,Possession,2012,2012/02/18 05:00:00+00,04:26:00,b'e7\x0b\xf6\x08\x81\xab',62,3D,305,398600,138800,404,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,300 BLOCK OF ELM ST NW,398600,138900,2012/02/18 21:26:00+00
2009,Public consumption,2017,2017/01/31 05:00:00+00,11:45:53,b'e6\x04\xbc\x95HA',26,4D,402,397100,144200,,,B ,N ,M,Narcotics,"Consumption of marijuana in public space prohibited; impairment prohibited",6200 BLOCK OF 14TH STREET NW,397100,144200,2017/02/01 04:45:53+00
2010,Possession,2014,2014/03/28 04:00:00+00,12:20:00,b'e0\xf7\xc5d\x9e\xfc',19,3D,303,396600,139600,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF COLUMBIA RD NW,396600,139600,2014/03/28 04:20:00+00
2011,Distribution,2016,2016/06/16 04:00:00+00,12:14:49,b'e>\xb8\xeb\xc5\xfe\x19',47,7D,704,402300,131400,707,7D,B ,N ,M,Narcotics,Distribution Of Marijuana-misd,2200 BLOCK OF ALABAMA AVENUE SE,402300,131400,2016/06/16 16:14:49+00
2012,Distribution,2012,2012/08/14 04:00:00+00,06:30:00,b'E=\x9b\xaf\xf9\x1a\xe6',45,6D,603,403900,135900,701,7D,B ,N ,M,Narcotics,Ucsa Dist Marijuana,UNIT BLOCK OF 35TH ST NE,403900,135900,2012/08/14 10:30:00+00
2013,Public consumption,2017,2017/08/20 04:00:00+00,11:25:34,b'e~\xba\xa8^f\x12',22,2D,206,393900,137300,Out of State,Out of State,W ,H ,M,Narcotics,"Consumption of marijuana in public space prohibited; impairment prohibited",3500 BLOCK OF WATER STREET NW,393900,137300,2017/08/21 03:25:34+00
2014,Possession,2014,2014/05/09 04:00:00+00,08:04:00,b'e{\x98\xe0|%7',24,6D,604,405800,134900,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,BENNING RD SE / G ST SE,405800,134900,2014/05/10 00:04:00+00
2015,Possession,2012,2012/05/18 04:00:00+00,08:35:00,b'E\xfe^6\x8f\xcfZ',27,3D,305,397900,138800,305,3D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,U ST NW,397900,138800,2012/05/19 00:35:00+00
2016,Possession,2012,2012/05/18 04:00:00+00,08:37:00,b'E\xfe^6\x8f\xcfZ',24,3D,305,397900,138800,305,3D,W ,U ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF U ST NW,397900,138800,2012/05/19 00:37:00+00
2017,Possession,2013,2013/08/17 04:00:00+00,04:00:00,b'e\xfe*\xc5\xfet<',34,3D,303,396400,139100,104,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF CHAMPLAIN ST NW,396400,139100,2013/08/17 08:00:00+00
2018,Possession,2013,2013/10/05 04:00:00+00,06:04:00,b'E\xf0()\xf5]~',44,6D,603,404100,135300,603,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF 37TH ST SE,404100,135300,2013/10/05 22:04:00+00
2019,Possession with intent to distribute,2014,2014/10/27 04:00:00+00,11:00:00,b'e\xefxXc\xd4\xb1',25,3D,304,397500,139800,605,6D,B ,U ,M,Narcotics,Poss W/i To Dist Marijuana-fel,1200 BLOCK OF GIRARD ST NW,397500,139800,2014/10/27 15:00:00+00
2020,Possession,2013,2013/11/27 05:00:00+00,02:47:00,b'e\xefpE\xf4\x186',24,1D,105,399200,134600,,,W ,N ,F,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF I ST SW,399200,134600,2013/11/27 07:47:00+00
2021,Possession with intent to distribute,2013,2013/11/27 05:00:00+00,02:47:00,b'e\xefpE\xf4\x186',27,1D,105,399200,134600,,,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,UNIT BLOCK OF I ST SW,399200,134600,2013/11/27 07:47:00+00
2022,Possession with intent to distribute,2014,2014/03/18 04:00:00+00,08:16:00,b'e\xee\x91%\x11\xcb\x15',25,6D,604,405600,134800,604,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,600 BLOCK OF 46TH PL SE,405600,134800,2014/03/18 12:16:00+00
2023,Distribution,2016,2016/06/01 04:00:00+00,03:46:16,b'E\xec\xb0\xcdw\xbf\xca',20,7D,704,402300,131400,,,B ,U ,M,Narcotics,Distribution Of Marijuana-misd,2200 BLOCK OF ALABAMA AVENUE SE,402300,131400,2016/06/01 19:46:16+00
2024,Distribution,2016,2016/06/01 04:00:00+00,03:46:19,b'E\xec\xb0\xcdw\xbf\xca',23,7D,704,402300,131400,701,7D,B ,N ,M,Narcotics,Distribution Of Marijuana-misd,2200 BLOCK OF ALABAMA AVENUE SE,402300,131400,2016/06/01 19:46:19+00
2025,Possession with intent to distribute,2014,2014/02/04 05:00:00+00,05:37:00,b'e\xec\x86\xbd\xd2\xe4$',19,6D,602,405800,136500,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4900 BLOCK OF FITCH PL NE,405800,136500,2014/02/04 22:37:00+00
2026,Possession with intent to distribute,2012,2012/02/04 05:00:00+00,03:57:00,b'E\xe8\xdf\xf4\xdf\xa4-',26,6D,604,406100,135100,604,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,5000 BLOCK OF D ST SE,406100,135100,2012/02/04 20:57:00+00
2027,Possession with intent to distribute,2012,2012/02/04 05:00:00+00,03:57:00,b'E\xe8\xdf\xf4\xdf\xa4-',28,6D,604,406100,135100,604,6D,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,5000 BLOCK OF D ST SE,406100,135100,2012/02/04 20:57:00+00
2028,Possession with intent to distribute,2013,2013/03/20 04:00:00+00,04:04:00,b'e\xe3\x81\xde\xe2\x8a\xad',24,6D,608,407700,136000,608,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,63RD ST NE / BANKS PL NE,407700,136000,2013/03/20 20:04:00+00
2029,Possession,2012,2012/11/21 05:00:00+00,10:24:00,b'e\xddx\x18\xc1\xed3',35,5D,507,401900,136300,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1800 BLOCK OF D ST NE,401800,135200,2012/11/22 03:24:00+00
2030,Possession with intent to distribute,2013,2013/09/18 04:00:00+00,05:16:00,b'e\xd4z]s\xe9\xe1',34,5D,507,402100,137000,708,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 19TH ST NE,402100,137000,2013/09/18 21:16:00+00
2031,Possession,2012,2012/05/01 04:00:00+00,04:50:00,b'E\xd0k\xa4U[\xac',30,5D,504,401700,137300,507,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALLEY 1700 L ST NE WASHDC,,,2012/05/01 20:50:00+00
2032,Public consumption,2017,2017/04/06 04:00:00+00,10:01:17,b'E\xc8[\xd1[2c',37,6D,604,407000,135700,306,3D,B ,N ,M,Narcotics,"Consumption of marijuana in public space prohibited; impairment prohibited",UNIT BLOCK OF 57TH STREET SE,407000,135700,2017/04/07 02:01:17+00
2033,Public consumption,2017,2017/04/06 04:00:00+00,10:01:53,b'E\xc8[\xd1[2c',28,6D,604,407000,135700,,,B ,U ,M,Narcotics,"Consumption of marijuana in public space prohibited; impairment prohibited",UNIT BLOCK OF 57TH STREET SE,407000,135700,2017/04/07 02:01:53+00
2034,Possession with intent to distribute,2017,2017/05/04 04:00:00+00,08:22:27,b'E\xc6\x05\xcd\xd2 i',25,6D,608,406600,136300,608,6D,B ,U ,F,Narcotics,Poss W/i To Dist A Controlled Substance,300 BLOCK OF 54TH ST NE,406600,136300,2017/05/05 00:22:27+00
2035,Possession with intent to distribute,2013,2013/11/27 05:00:00+00,06:43:00,b'e\xc6:\xe6b\xb9?',21,7D,703,400700,132800,703,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2400 BLOCK OF MARTIN LUTHER KING JR AVE SE,400700,132800,2013/11/27 23:43:00+00
2036,Possession with intent to distribute,2013,2013/02/08 05:00:00+00,09:13:00,b'E\xbe\xc3\xdb\xe0\xa2\xb5',21,6D,608,407700,136100,,,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 63RD ST NE,407700,136100,2013/02/09 02:13:00+00
2037,Possession with intent to distribute,2013,2013/03/17 04:00:00+00,12:13:00,b'E\xbe\xa5\xc4\x91\xbaD',27,5D,507,402000,136800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1800 BLOCK OF BENNING RD NE,402000,136800,2013/03/17 04:13:00+00
2038,Possession,2014,2014/06/08 04:00:00+00,05:57:00,b'E\xbe\x86VL\xbf\x8c',29,2D,207,395400,137300,607,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,25TH ST NW / PENNSYLVANIA AVE NW,395400,137300,2014/06/08 09:57:00+00
2039,Possession with intent to distribute,2012,2012/02/07 05:00:00+00,08:00:00,b'e\xbc\xf9\xfa\rY\xe3',18,4D,403,397100,143000,505,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF 14TH ST NW,397100,143000,2012/02/08 01:00:00+00
2040,Distribution,2017,2017/12/17 05:00:00+00,10:18:57,b'E\xb8X%\\\xd8_',22,7D,707,400200,130900,703,7D,B ,N ,M,Narcotics,Distribution Of A Controlled Substance,2900 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400200,130900,2017/12/17 15:18:57+00
2041,Possession,2013,2013/04/09 04:00:00+00,07:15:00,b'E\xb7\x9eP\xf9\xd9Q',19,3D,304,397200,139900,405,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,14TH ST NW / HARVARD ST NW,397200,139900,2013/04/09 23:15:00+00
2042,Possession,2013,2013/01/03 05:00:00+00,07:06:00,b'e\xb5K6\x1eb-',21,3D,302,398100,140200,302,3D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,600 BLOCK OF KENYON ST NW,398100,140200,2013/01/04 00:06:00+00
2043,Possession,2014,2014/01/17 05:00:00+00,10:12:00,b'e\xab\xf9n\xeb\x94r',24,3D,302,398000,140000,505,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3000 BLOCK OF GEORGIA AVE NW,398000,140000,2014/01/18 03:12:00+00
2044,Public consumption,2014,2014/07/25 04:00:00+00,09:40:00,"b'e\xa9\xfa;\xe4\xa4\x12'",31,3D,305,397600,138600,506,5D,B ,N ,M,Narcotics,Public Consumption Of Marijuana,1900 BLOCK OF 12TH ST NW,397600,138600,2014/07/26 01:40:00+00
2045,Possession with intent to distribute,2012,2012/11/29 05:00:00+00,11:10:00,b'E\xa80S\x07w\xcb',26,5D,506,400800,137600,507,5D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1300 BLOCK OF WEST VIRGINIA AVE NE,400800,137600,2012/11/29 16:10:00+00
2046,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,05:53:00,b'e\xa8\x87D\xd4p\xce',41,6D,602,406100,136300,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 50TH ST NE,406100,136300,2012/01/05 22:53:00+00
